"module name","license","repository"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/styled@11.14.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@hierarchidb/api@0.0.1","UNKNOWN",""
"@hierarchidb/app@1.0.0","UNLICENSED",""
"@hierarchidb/core@0.0.1","UNKNOWN",""
"@hierarchidb/ui-auth@1.0.0","UNLICENSED",""
"@hierarchidb/ui-client@1.0.0","UNKNOWN",""
"@hierarchidb/ui-core@1.0.0","UNLICENSED",""
"@hierarchidb/ui-i18n@1.0.0","UNLICENSED",""
"@hierarchidb/ui-layout@1.0.0","UNKNOWN",""
"@hierarchidb/ui-navigation@1.0.0","UNKNOWN",""
"@hierarchidb/ui-routing@1.0.0","UNLICENSED",""
"@mui/icons-material@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@7.3.1","MIT","https://github.com/mui/material-ui"
"@mui/material@6.5.0","MIT","https://github.com/mui/material-ui"
"@mui/material@7.3.1","MIT","https://github.com/mui/material-ui"
"@mui/x-date-pickers@8.10.0","MIT","https://github.com/mui/mui-x"
"@react-oauth/google@0.12.2","MIT","https://github.com/MomenSherif/react-oauth"
"@react-router/dev@7.8.1","MIT","https://github.com/remix-run/react-router"
"@react-router/fs-routes@7.8.1","MIT","https://github.com/remix-run/react-router"
"@react-router/node@7.8.1","MIT","https://github.com/remix-run/react-router"
"@storybook/addon-essentials@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-interactions@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/addon-links@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/blocks@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/react-vite@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/react@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@storybook/test@8.6.14","MIT","https://github.com/storybookjs/storybook"
"@testing-library/jest-dom@6.5.0","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/jest-dom@6.7.0","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@14.3.1","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/react@16.3.0","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/user-event@14.5.2","MIT","https://github.com/testing-library/user-event"
"@types/node@20.19.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.17.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.3.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-gravatar@2.6.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.23","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.1.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-react@4.7.0","MIT","https://github.com/vitejs/vite-plugin-react"
"@vitest/coverage-v8@1.6.1","MIT","https://github.com/vitest-dev/vitest"
"@vitest/ui@1.6.1","MIT","https://github.com/vitest-dev/vitest"
"comlink@4.4.2","Apache-2.0","https://github.com/GoogleChromeLabs/comlink"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"i18next-browser-languagedetector@8.2.0","MIT","https://github.com/i18next/i18next-browser-languageDetector"
"i18next-http-backend@3.0.2","MIT","https://github.com/i18next/i18next-http-backend"
"i18next@25.3.4","MIT","https://github.com/i18next/i18next"
"isbot@5.1.29","Unlicense","https://github.com/omrilotan/isbot"
"jsdom@22.1.0","MIT","https://github.com/jsdom/jsdom"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"oidc-client-ts@3.3.0","Apache-2.0","https://github.com/authts/oidc-client-ts"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-gravatar@2.6.3","MIT","https://github.com/KyleAMathews/react-gravatar"
"react-i18next@15.6.1","MIT","https://github.com/i18next/react-i18next"
"react-oidc-context@3.3.0","MIT","https://github.com/authts/react-oidc-context"
"react-router-dom@6.30.1","MIT","https://github.com/remix-run/react-router"
"react-router-dom@7.8.0","MIT","https://github.com/remix-run/react-router"
"react-router-dom@7.8.1","MIT","https://github.com/remix-run/react-router"
"react-router@7.8.0","MIT","https://github.com/remix-run/react-router"
"react-router@7.8.1","MIT","https://github.com/remix-run/react-router"
"react@18.3.1","MIT","https://github.com/facebook/react"
"react@19.1.1","MIT","https://github.com/facebook/react"
"rxjs@7.8.2","Apache-2.0","https://github.com/reactivex/rxjs"
"sonner@1.7.4","MIT","https://github.com/emilkowalski/sonner"
"storybook@8.6.14","MIT","https://github.com/storybookjs/storybook"
"typescript@5.9.2","Apache-2.0","https://github.com/microsoft/TypeScript"
"vite-tsconfig-paths@5.1.4","MIT","https://github.com/aleclarson/vite-tsconfig-paths"
"vite@6.3.5","MIT","https://github.com/vitejs/vite"
"vite@7.1.2","MIT","https://github.com/vitejs/vite"
"vitest@1.6.1","MIT","https://github.com/vitest-dev/vitest"
"vitest@2.1.9","MIT","https://github.com/vitest-dev/vitest"